Block number, timestamp, reserve A, reserve B, price
7879486,1665687187,3503578.327649,67058054.712294,19.13987598995449
7879552,1665688607,3503429.12562,67060919.135521,19.14150871359593
7879565,1665688901,3504315.158181,67077879.135507,19.14150871359567
7879667,1665690848,3506937.096831,67027879.135507,19.112940233822815
7879679,1665691125,3506938.096831,67027860.079912,19.11292935010198
7879721,1665691777,3507653.096831,67014238.101599,19.105149868481355
7879734,1665692111,3508338.096831,67001192.874947,19.097701255037997
7879740,1665692279,3508386.944268,67000280.157442,19.097175203808977
7879740,1665692279,3508538.096831,66997385.009741,19.095527299605134
7879809,1665693593,3508649.570514,66995280.157442,19.09432070972751
7879849,1665694392,3513649.570514,66900230.01353,19.040097389035694
7879890,1665695279,3513387.774134,66905230.01353,19.042939269640165
7879924,1665695750,3514151.508289,66919773.756661,19.042939269639934
7879935,1665695931,3514751.508289,66908384.209188,19.036447968339974
7879987,1665697003,3514779.508289,66907852.791928,19.036145122087287
7880043,1665698089,3515329.508289,66897415.95003,19.03019782136744
7880046,1665698229,3515389.508289,66896277.582968,19.02954919369022
7880109,1665699656,3515339.508289,66897231.937024,19.0300913409028
7880115,1665699720,3512328.45401,66954754.264759,19.06278274980725
7880196,1665701006,3512288.77278,66955512.984147,19.063214136334032
7880218,1665701524,3512425.576822,66952912.984147,19.06173142171604
7880327,1665703604,3512414.451855,66953125.684069,19.061852353075608
7880357,1665704313,3512469.451855,66952080.443714,19.061256293163026
7880394,1665705259,3512534.451855,66950845.201791,19.060551894781753
7880399,1665705400,3512587.074886,66949845.201791,19.059981652971217
7880682,1665711067,3512580.572251,66949721.261681,19.05998165296945
7880728,1665711995,3514580.572251,66911737.220811,19.03832785883629
7880734,1665712161,3513741.337557,66927766.750811,19.047436996982793
7880736,1665712212,3513414.164632,66921534.945128,19.047436996980814
7880790,1665713280,3513864.164632,66912990.403626,19.042566038016915
7880811,1665713647,3511849.365519,66951494.873886,19.064455193109215
